ID;Ciudad;Estrato;Edad;Sexo;Estado Civil;Educación;Religión;Hijos;N° Hijos;Ocupación;Ingresos;¿Cuántas personas viven en su casa, incluido usted?;Café instantáneo;Margarina;Café molido;Carnes frías;Chocolate en pastilla;Calzado Deportivo;Jugos;Aguaembotellada;Gaseosas;Bebidasachocolatadasinstantánea;Ron;Cervezas;Cigarrillos;Aguardiente;Whisky;Vodka;Jabones para el cuerpo;Cremas faciales;Cremas corporales;Jabones faciales;Champú;Cremas de afeitar;Pañales para adultos;Pañales para niños;Tampones;Protectores diarios;Toallas higiénicas;Protector solar;Ropa Casual;Desodorantes;Preservativos;Vehículos;Ropa Deportiva;Calzado Casual;Reproductores de Audio Portátiles (mp3/mp4);Equipos Celulares;Computadores;Siento que la publicidad ha invadido todos mis espacios;Utilizo frases de comerciales para expresarme ;Cuando hay una campaña publicitaria que me llama la atención suelo comentarlo con mis amigos;Creo que la publicidad produce una exageración en el consumo de productos;Creo que la publicidad impone modas;Hay publicidad que me ha cambiado la forma de pensar respecto a situaciones de la vida;Creo que la publicidad impone modelos de belleza ;Creo que cualquier persona puede hacer publicidad ;Suelo cantar las canciones de los comerciales;Confío en lo que las empresas prometen a través de la publicidad.;Si aparece una persona famosa en un comercial, me da más confianza el producto.;Me parece que la publicidad exagera todo.;Cuando me gusta un comercial, me intereso más por el producto que ofrece;Sólo compro productos de marcas que hacen publicidad;La publicidad colombiana no invita a comprar
5767;Ciudad 1;6;55 - 60;Femenino;Casado(a);Posgrado;1.   Católico;Con Hijos;2;8.   Pensionado;$ 501.000 -- $ 1´000.000;5;nr;rama;nr;zenu;nr;;;;cocacola;;;;;;;;palmolive;ponds;cualquiera;lux;;nr;nr;nr;nr;nr;nr;otras;cualquiera/generica;lady speed stick;nr;chevrolet;nr;calzatodo;nr;comcel;nr;4;2;4;4;4;2;4;4;2;2;4;4;2;4;4
5768;Ciudad 1;6;61 - 70;Femenino;Casado(a);Primaria;1.   Católico;Con Hijos;4;9.   Se dedica al hogar;No poseo ingresos propios;3;colcafe;rama;nr;zenu;sol;;naturales;brisa;cocacola;milo;;;;;;;rexona;nivea;nivea;34;;nr;nr;nr;nr;nr;nr;nr;nr;rexona;nr;cualquiera;nr;velez;nr;nr;nr;1;1;5;5;5;1;5;4;1;5;4;5;5;1;1
5769;Ciudad 1;4;45 - 54;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;4;nr;rama;la bastilla;zenu;nr;;;;;chocolisto;;pielsen;boston;antioqueño;;;protex;nr;nr;nr;;nr;nr;nr;nr;nr;nr;nr;cualquiera/generica;balance;nr;nr;cualquiera/generica;cualquiera;nr;comcel;nr;3;2;4;4;4;2;4;5;2;2;2;4;2;3;4
5770;Ciudad 1;4;45 - 54;Masculino;Casado(a);Pregrado;1.   Católico;Con Hijos;4;8.   Pensionado;$ 1´001.000 -- $ 2,000.000;4;nescafe;la fina;colcafe;zenu;tesalia;;hit;oasis;postobon;alpin;viejodecaldas;pielsen;marlboro;antioqueño;sellonegro;;lux;nr;nr;nr;;gillette;nr;nr;nr;nr;nr;nr;nr;arden for men;duo;renault;tennis;adidas;sony;nokia;clones;2;4;2;2;2;2;2;3;2;2;2;4;2;2;3
5771;Ciudad 1;4;61 - 70;Masculino;Casado(a);Posgrado;7.   Ninguna;Con Hijos;3;2.   Trabaja independientemente (informal);Menos de  $ 500.000;3;colcafe;marcas propias supermercados;nr;nr;luker;;frutiño;oasis;cocacola;milo;;;green;;;;palmolive;nr;nr;palmolive;;nr;nr;nr;nr;nr;nr;nr;caribu;yodora;nr;nissan;weekend;otras;nr;lg;compaq;1;1;4;5;4;1;4;2;1;2;1;5;1;1;1
5772;Ciudad 1;4;61 - 70;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;8.   Pensionado;$ 501.000 -- $ 1´000.000;4;nr;rama;la bastilla;zenu;nr;;hit;h2oh;;;;;boston;;;;j&j;nr;nr;nr;;nr;nr;nr;nr;nr;nr;cualquiera;cualquiera/generica;rexona;nr;nr;cualquiera/generica;cualquiera;nr;nr;nr;4;2;2;5;4;2;4;4;2;2;2;4;2;2;4
5773;Ciudad 1;4;61 - 70;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;8.   Pensionado;$ 501.000 -- $ 1´000.000;8;nr;rama;nr;zenu;nr;;hit;;;;;;;;;;palmolive;nr;nr;nr;;otras;nr;nr;nr;nr;nr;cualquiera;cualquiera/generica;yodora;nr;nr;nr;cualquiera;nr;nr;cualquiera;4;2;2;4;4;2;4;4;2;2;2;4;2;2;4
5774;Ciudad 1;4;61 - 70;Masculino;Casado(a);Pregrado;1.   Católico;Con Hijos;3;2.   Trabaja independientemente (informal);$ 1´001.000 -- $ 2,000.000;5;nescafe;rama;la bastilla;zenu;cruz;;;brisa;postobon;;;;marlboro;;;;rexona;nr;nr;nr;;gillette;nr;nr;nr;nr;nr;nr;nr;rexona;nr;mazda;nr;nr;nr;nokia;clones;3;2;2;2;4;2;2;3;2;2;2;4;2;2;4
5775;Ciudad 1;4;25 - 34;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;3;9.   Se dedica al hogar;No poseo ingresos propios;3;nescafe;rama;la bastilla;zenu;cruz;;hit;brisa;postobon;milo;;reds;;;;;protex;triple accion;nr;nr;;nr;nr;nr;nr;nosotras;nosotras;nr;nr;rexona;nr;mazda;nr;nr;sony;nokia;clones;2;2;2;4;4;2;3;3;4;2;3;4;1;2;4
5776;Ciudad 1;4;35 - 44;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;3;9.   Se dedica al hogar;No poseo ingresos propios;5;nr;la buena;nr;zenu;luker;;;;postobon;chocolisto;;;;antioqueño;;;protex;ponds;nr;nr;;nr;nr;nr;nr;kotex;kotex;otras;cualquiera/generica;dove;nr;nr;nr;cualquiera;nr;comcel;nr;4;2;4;4;4;2;5;4;2;4;2;4;2;2;4
